customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-608093,Female,0,Yes,Yes,35.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,118.31,4145.44,No
CUST-208994,Female,0,No,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,56.85,63.59,No
CUST-988235,Female,0,No,No,10.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.45,605.11,No
CUST-585743,Female,0,Yes,No,31.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (auto),106.67,3313.08,No
CUST-365079,Male,0,No,No,45.0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (auto),104.1,4679.56,No
CUST-476291,Female,0,No,No,2.0,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,117.72,232.33,Yes
CUST-804203,Male,0,No,No,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (auto),34.47,571.02,No
CUST-428314,Male,0,No,No,21.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.1,487.01,No
CUST-790359,Female,0,Yes,No,7.0,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (auto),71.21,499.67,No
CUST-588059,Male,0,No,No,3.0,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,88.79,261.62,No
CUST-639787,Female,0,No,No,6.0,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (auto),93.31,562.84,Yes
CUST-855020,Female,0,No,No,45.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (auto),96.94,4357.97,No
CUST-446938,Female,0,Yes,No,16.0,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,93.29,1484.31,No
CUST-617808,Female,0,Yes,Yes,20.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,118.75,2387.34,No
CUST-614146,Female,0,No,No,2.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (auto),77.75,150.06,No
CUST-844275,Male,1,Yes,Yes,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (auto),29.49,441.45,No
CUST-161874,Male,0,Yes,No,13.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (auto),50.94,668.9,No
CUST-705862,Male,0,No,Yes,38.0,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,86.07,3260.52,No
CUST-112528,Male,0,No,No,,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,118.75,3564.35,No
CUST-760468,Male,0,No,No,13.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (auto),118.75,1534.56,Yes
CUST-604730,Female,1,No,No,72.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,118.75,8556.05,No
CUST-231964,Male,0,No,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.94,95.55,No
CUST-372487,Male,0,No,No,1.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,98.53,108.36,Yes
CUST-538555,Male,0,No,No,8.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (auto),38.89,323.7,No
CUST-148957,Male,0,No,No,65.0,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Mailed check,99.76,6489.89,No
CUST-391226,Female,0,No,Yes,16.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (auto),87.94,1424.43,No
CUST-554738,Female,0,Yes,No,6.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,107.53,624.94,Yes
CUST-330048,Female,1,Yes,No,52.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,118.65,6173.11,No
CUST-833800,Female,1,No,No,27.0,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (auto),90.54,2454.31,Yes
CUST-867606,Male,0,No,No,28.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,53.27,1488.9,No
CUST-270853,Female,1,No,No,5.0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.55,409.34,No
CUST-995398,Male,0,No,No,25.0,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (auto),83.08,2071.52,Yes
CUST-149290,Male,0,No,No,45.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (auto),118.75,5358.0,No
CUST-487420,Male,1,Yes,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,118.75,,Yes
CUST-206160,Female,0,No,No,22.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (auto),118.75,2610.17,No
CUST-337245,Male,0,No,No,14.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (auto),118.75,1655.81,No
CUST-546917,Male,0,Yes,No,1.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,118.75,119.71,No
CUST-498828,Male,0,No,No,16.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,1915.31,No
CUST-910707,Male,0,No,Yes,28.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (auto),118.55,3331.18,No
CUST-430105,Female,0,No,No,15.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,97.24,1450.43,Yes
CUST-289055,Male,0,Yes,Yes,12.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,1426.34,No
CUST-650696,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (auto),41.11,46.13,No
CUST-285694,Male,0,No,Yes,59.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,107.87,6362.55,No
CUST-507802,Female,0,No,Yes,13.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,97.05,1263.91,Yes
CUST-357516,Male,0,No,No,5.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,117.83,601.39,No
CUST-635068,Male,0,Yes,No,25.0,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (auto),70.8,1769.19,No
CUST-865980,Male,0,No,No,45.0,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.68,2420.48,No
CUST-492719,Female,0,Yes,Yes,11.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (auto),103.91,1154.11,Yes
CUST-181059,Female,0,Yes,Yes,4.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (auto),118.75,482.75,No
CUST-728160,Female,1,Yes,Yes,40.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,71.98,2881.11,No
CUST-237587,Male,0,No,No,21.0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,95.47,2019.54,No
CUST-160060,Female,0,No,No,46.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (auto),57.66,2645.45,No
CUST-170324,Female,0,Yes,Yes,8.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (auto),118.75,933.85,Yes
CUST-901664,Female,0,No,No,37.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (auto),93.72,3471.36,No
CUST-199849,Male,0,No,No,61.0,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,,4455.92,No
CUST-752381,Male,0,No,No,58.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,118.75,6909.63,No
CUST-487502,Male,0,No,No,10.0,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (auto),107.12,1062.78,Yes
CUST-553706,Female,1,No,Yes,18.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.91,1145.22,No
CUST-803259,Male,0,Yes,No,7.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (auto),51.2,341.69,No
CUST-684345,Male,0,Yes,Yes,40.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (auto),118.75,4751.66,No
CUST-724835,Male,0,No,No,10.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.21,389.52,No
CUST-684692,Female,1,No,No,8.0,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (auto),92.39,729.95,Yes
CUST-684220,Male,1,No,No,28.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,105.63,2953.71,No
CUST-687087,Female,0,No,No,4.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,106.48,439.79,Yes
CUST-206771,Female,0,No,No,45.0,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,93.21,4214.33,No
CUST-349795,Female,0,No,No,1.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (auto),96.56,105.4,No
CUST-824979,Male,0,No,Yes,31.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (auto),91.73,2838.63,No
CUST-715459,Female,0,Yes,Yes,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (auto),39.76,177.0,No
CUST-399819,Female,0,No,No,61.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (auto),118.75,7249.42,No
CUST-616385,Female,1,No,No,49.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,118.75,5815.3,Yes
CUST-834311,Male,0,Yes,No,5.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (auto),118.75,587.98,No
CUST-470850,Male,0,Yes,No,2.0,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (auto),57.92,93.38,No
CUST-784106,Male,0,No,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (auto),118.75,136.3,Yes
CUST-661881,Male,0,No,No,11.0,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (auto),72.78,826.75,No
CUST-784166,Male,0,Yes,Yes,55.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,107.01,5885.51,No
CUST-669777,Male,0,Yes,Yes,15.0,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,71.59,1080.45,No
CUST-356914,Male,0,Yes,No,55.0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,79.51,4372.66,No
CUST-844648,Female,0,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,101.66,103.97,Yes
CUST-507738,Male,0,No,No,33.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,118.75,3908.15,Yes
CUST-980687,Female,0,No,Yes,50.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,96.9,4849.75,No
CUST-289821,Female,0,No,No,35.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,45.45,1609.98,No
CUST-799002,Male,0,Yes,Yes,6.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,118.75,712.36,Yes
CUST-439327,Female,1,Yes,Yes,8.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,116.36,927.76,No
CUST-960009,Male,1,Yes,No,66.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (auto),118.75,7848.71,No
CUST-768197,Female,0,No,Yes,11.0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (auto),81.23,886.99,No
CUST-685155,Male,0,No,No,53.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,48.08,2545.52,No
CUST-475045,Female,0,Yes,Yes,23.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,118.75,2727.95,No
CUST-647338,Male,0,No,No,43.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.75,5101.44,Yes
CUST-107314,Male,0,Yes,Yes,9.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.27,875.88,No
CUST-268958,Male,0,Yes,Yes,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (auto),36.3,153.5,No
CUST-294044,Female,0,No,No,63.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (auto),118.75,7496.49,No
CUST-968733,Female,0,Yes,No,50.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (auto),68.35,3426.13,Yes
CUST-422581,Male,0,No,No,23.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (auto),107.74,2498.88,Yes
CUST-511676,Male,0,Yes,Yes,24.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,118.75,,No
CUST-842116,Male,0,No,No,8.0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.22,826.84,Yes
CUST-293459,Female,0,Yes,Yes,4.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (auto),97.11,386.56,No
CUST-527768,Male,0,Yes,Yes,32.0,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (auto),66.37,2125.33,No
CUST-559533,Male,0,Yes,No,31.0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Mailed check,108.6,3376.58,No
CUST-768795,Female,0,No,Yes,17.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,97.61,1662.6,No
CUST-239417,Female,0,No,No,15.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (auto),114.88,1735.67,Yes
CUST-861216,Male,1,No,No,28.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (auto),90.26,2519.92,No
CUST-370464,Female,0,Yes,No,67.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (auto),108.59,7273.35,No
CUST-792614,Male,1,Yes,Yes,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,49.17,1234.04,No
CUST-391360,Female,0,Yes,No,33.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,91.72,3017.91,No
CUST-372468,Male,0,No,No,67.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (auto),106.05,7110.19,No
CUST-533944,Female,0,Yes,No,36.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (auto),118.75,4253.39,Yes
CUST-599834,Female,0,Yes,No,51.0,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (auto),105.85,5405.69,Yes
CUST-915450,Female,0,No,No,38.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.18,2738.02,No
CUST-865899,Male,1,No,No,7.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,103.14,719.78,Yes
CUST-128577,Female,0,Yes,No,33.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,99.98,3292.8,No
CUST-855082,Male,0,Yes,No,55.0,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (auto),91.9,5054.66,No
CUST-416768,Male,0,Yes,Yes,11.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,96.31,1050.91,No
CUST-781633,Female,0,No,No,3.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (auto),106.9,312.01,Yes
CUST-323103,Male,0,Yes,No,3.0,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (auto),105.34,319.71,No
CUST-701079,Female,0,No,Yes,8.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (auto),77.66,594.54,No
CUST-243072,Female,0,Yes,Yes,48.0,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (auto),72.72,3486.38,No
CUST-882744,Male,0,No,No,45.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,112.94,5089.33,No
CUST-368625,Female,0,No,No,34.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (auto),107.55,3649.91,Yes
CUST-757993,Male,0,Yes,Yes,6.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,118.75,722.42,Yes
CUST-932019,Female,0,Yes,Yes,20.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,109.78,2182.05,No
CUST-857367,Male,0,Yes,Yes,10.0,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (auto),90.88,897.26,Yes
CUST-829624,Female,0,No,No,12.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,87.71,1034.88,No
